id,desc,memo,ship_skin_id,draw_able_name,parameter,mode,start_value,range,parts_data,ignore_react,react_condition,ignore_action,range_abs,drag_direct,react_pos_x,react_pos_y,offset_circle,offset_x,offset_y,smooth,revert_smooth,revert,save_parameter,revert_action_index,revert_idle_index,gyro,gyro_x,gyro_y,gyro_z,limit_time,listener_data,action_trigger,action_trigger_active,shop_action,relation_parameter
101,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,{idle_on={1}},1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle1'}","{enable = {},ignore = {},idle = 0}",0,
102,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle2'}","{enable = {},ignore = {},idle = 0}",0,
103,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle3'}","{enable = {},ignore = {},idle = 0}",0,
104,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle4'}","{enable = {},ignore = {},idle = 0}",0,
105,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle5'}","{enable = {},ignore = {},idle = 0}",0,
106,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle6'}","{enable = {},ignore = {},idle = 0}",0,
107,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle7'}","{enable = {},ignore = {},idle = 0}",0,
108,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle8'}","{enable = {},ignore = {},idle = 0}",0,
109,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle9'}","{enable = {},ignore = {},idle = 0}",0,
110,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle10'}","{enable = {},ignore = {},idle = 0}",0,
111,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle11'}","{enable = {},ignore = {},idle = 0}",0,
112,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle12'}","{enable = {},ignore = {},idle = 0}",0,
113,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle13'}","{enable = {},ignore = {},idle = 0}",0,
114,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle14'}","{enable = {},ignore = {},idle = 0}",0,
115,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle15'}","{enable = {},ignore = {},idle = 0}",0,
116,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle16'}","{enable = {},ignore = {},idle = 0}",0,
117,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle17'}","{enable = {},ignore = {},idle = 0}",0,
118,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle18'}","{enable = {},ignore = {},idle = 0}",0,
119,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle19'}","{enable = {},ignore = {},idle = 0}",0,
120,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle20'}","{enable = {},ignore = {},idle = 0}",0,
121,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle21'}","{enable = {},ignore = {},idle = 0}",0,
122,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle22'}","{enable = {},ignore = {},idle = 0}",0,
123,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle23'}","{enable = {},ignore = {},idle = 0}",0,
124,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle24'}","{enable = {},ignore = {},idle = 0}",0,
125,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle25'}","{enable = {},ignore = {},idle = 0}",0,
126,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle26'}","{enable = {},ignore = {},idle = 0}",0,
127,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle27'}","{enable = {},ignore = {},idle = 0}",0,
128,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle28'}","{enable = {},ignore = {},idle = 0}",0,
129,,1,1,TouchIdle1,Paramtouch_idle1,1,0,"{0,1}",,1,,1,1,0,,,,0,0,100,100,-1,,,,0,0,0,0,1.0,,"{type = 2 ,action = 'touch_idle29'}","{enable = {},ignore = {},idle = 0}",0,
